Country,Avg Runs Per Wicket Bowling,Avg Runs Per Six Balls Bowling,Number Of Team Innings Bowling,Highest Team Score Bowling,Lowest Completed Score Bowling
England,24.27,8.08,95,248,79
Australia,23.01,7.86,95,214,74
South Africa,21.12,7.76,100,236,80
West Indies,23.00,7.69,91,244,68
New Zealand,22.61,7.86,100,214,70
India,22.71,7.66,87,245,80
Pakistan,20.47,7.26,120,211,80
Sri Lanka,22.42,7.61,99,263,39
Zimbabwe,26.97,8.05,54,215,75
Netherlands,19.06,7.03,43,189,69
Hong Kong,20.45,7.34,24,189,72
P.N.G.,18.92,6.85,9,180,93
Bangladesh,25.35,7.88,67,224,72
U.A.E.,23.17,7.48,26,189,102
Ireland,18.83,7.13,57,233,53
Scotland,21.35,7.53,41,211,78
Oman,26.57,7.53,16,180,87
Afghanistan,21.53,7.46,61,225,56
